Title,Latitude,Longitude,StateOrProvince,Parking Status,Usage Cost
Nullarbor Roadhouse Caravan Park,-31.4502257,130.8962769,South Australia,Privately Owned - Notice Required,$32 fixed charge
Eucla Motor Hotel,-31.677182739271366,128.88337208224527,Western Australia,Privately Owned - Notice Required,"$0.88 / kWh, or $25 with accommodation"
Tonsley Boulevard,-35.00825619441188,138.57490811884736,South Australia,Public,Free
Mittagong NSW Main Street,-34.4499721,150.451723,New South Wales,Public - Membership Required,if you are not a member of Charge Point ask at the desk of the Visitor Centre 9 am - 5pmfor help. 
St Kilda Town Hall,-37.8682677,144.9895699,Victoria,Public,Free
City of Casey,-38.016591,145.292402,Victoria,(Unknown),Free
Evoenergy Visitor Carpark,-35.42275,149.072389,Australian Capital Territory,Public - Membership Required,Pricing set to 50c per kWh of charging.
Park Hyatt Sydney,-33.8560032,151.2094239,New South Wales,Public - Pay At Location,Free
Westfield Sydney - Valet Parking,-33.8694048813709,151.208287100525,New South Wales,Public,Free
Crowne Plaza Terrigal,-33.4484777280442,151.445479384747,New South Wales,Public - Pay At Location,Free
UWA DC FC Veefil,-31.9788128701367,115.819373130798,Western Australia,Public - Membership Required,15c/kWh
Busselton RAC,-33.6458309709066,115.34195677902198,Western Australia,Public - Membership Required,See operators website
Symmonds Street Carpark,-33.323613307980935,115.63775926256562,Western Australia,Public - Membership Required,See operators website
RAC Electric Highway Mandurah ,-32.527664807186866,115.72121359357834,Western Australia,Public - Membership Required,See operators website
100 St Kilda Rd,-37.82155,144.968518,Victoria,Information not available,Cost information not available
Southland Medical Centre,-37.958611,145.057267,Victoria,"Private - For Staff, Visitors or Customers",Cost information not available
650 Church Street Building 5,-37.8318863645605,144.995866953165,Victoria,Public,AUD 0.42/kWh;other tariffs for older cars
235 Argyle Street,-42.87494,147.32169,Tasmania,Public,Cost information not available
Barbagallo Raceway,-31.664336864323225,115.78576639030814,Western Australia,Public - Pay At Location,Pay for parking
11 Nicholson Street,-37.804609,144.972702,Victoria,Information not available,Cost information not available
Northside Nissan ,-31.793866981825452,115.81485993488059,Western Australia,"Private - For Staff, Visitors or Customers",Free
Murdoch University,-32.069294756142725,115.84106574515033,Western Australia,Public,Free
The West Australian,-31.912390364137213,115.81142842769623,Western Australia,Public - Membership Required,Free
"RAC, West Perth",-31.947956,115.84884,Western Australia,Public - Membership Required,$0.60 per kwh
Mainroads WA,-31.956628,115.877066,Western Australia,Private - Restricted Access,Free
"East Perth Train Station, Park & Ride",-31.943921,115.876775,Western Australia,Public - Membership Required,Free
City of Swan Depot,-31.869875,116.016412,Western Australia,Privately Owned - Notice Required,Free
Belvedere Caravan Park,-32.522026,115.73014,Western Australia,Privately Owned - Notice Required,Pay - $37-41
Guilderton Caravan Park,-31.350431412517,115.50134423591,Western Australia,Privately Owned - Notice Required,$30 for the day
Melville Holden,-32.0315997664746,115.80961525440216,Western Australia ,Private - Restricted Access,Free
Mandurah Caravan Park,-32.546794,115.76944100000003,Western Australia ,Public - Pay At Location,Pay - $1 per hour 
Bindoon Oval,-31.386192,116.09747300000004,Western Australia,Public,Free
Yanchep Central Shopping Centre,-31.549120088759476,115.63858419656778,Western Australia,Public,Free
University of Western Australia,-31.977629271750153,115.81634480917228,,Public - Membership Required,Free
Goderich St Carpark - City of Perth Parking,-31.957191,115.87013200000001,Western Australia,Public - Pay At Location,Free
Pier Street - City of Perth Parking,-31.9537826133991,115.862819552422,Western Australia,Public - Pay At Location,Free
His Majesty's - Carpark,-31.95201699999999,115.85426200000006,Western Australia,Public - Pay At Location,Free
Citiplace Community Centre Parking,-31.95144307350448,115.86082935333252,Western Australia,Public - Pay At Location,Free
Roe St - City of Perth Parking,-31.94861599999999,115.85699699999998,Western Australia,Public - Pay At Location,Free
Stellar Violets,-34.282476,116.12846100000002,Western Australia,Privately Owned - Notice Required,Contribution to electricity used is requested
Magic Kia / Renault,-32.04583613325877,115.80922963466207,Western Australia,Public - Membership Required,Free
Shacks Holden,-32.046135,115.751576,Western Australia,"Private - For Staff, Visitors or Customers",Free
Elder St - City of Perth Parking,-31.949440307195434,115.85039019584656,Western Australia,Public - Pay At Location,Free
"Department of Biodiversity, Conservation and Attractions KMCSC",-31.996175311870495,115.88449479477242,Western Australia,Private - Restricted Access,
EV Shop,-31.8608,115.805476,Western Australia,Public,Free
Phoenix Holden,-31.79273449405545,115.81597745418549,Western Australia,Public - Membership Required,Free
Round Cnr 494-500 Old Northern Road,-33.693647,151.018619,,Information not available,Cost information not available
1 The Avenue,-31.937153,115.840552,Western Australia,Public - Membership Required,Cost information not available
University Drive S Bruce ACT 2617,-35.24051,149.08711,,Information not available,Cost information not available
Derby Place,-33.88358,151.19153,,Information not available,Cost information not available
Nissan Motor Co.,-38.02666154446849,145.20960330963135,Victoria,Private - Restricted Access,Cost information not available
